CODIGO;NOMBRE 
5162;Navalperal de Tormes
5163;Navaluenga
5164;Navaquesera
5165;Navarredonda de Gredos
5166;Navarredondilla
5167;Navarrevisca
5168;Navas del Marqués, Las
5169;Navatalgordo
5170;Navatejares
5171;Neila de San Miguel
5172;Niharra
5173;Ojos-Albos
5174;Orbita
5175;Oso, El
5176;Padiernos
5177;Pajares de Adaja
5178;Palacios de Goda
5179;Papatrigo
5180;Parral, El
5181;Pascualcobo
5182;Pedro Bernardo
5183;Pedro-Rodríguez
5184;Peguerinos
5185;Peñalba de Ávila
5186;Piedrahíta
5187;Piedralaves
5188;Poveda
5189;Poyales del Hoyo
5190;Pozanco
5191;Pradosegar
5192;Puerto Castilla
5193;Rasueros
5194;Riocabado
5195;Riofrío
5196;Rivilla de Barajas
5197;Salobral
5198;Salvadiós
5199;San Bartolomé de Béjar
5200;San Bartolomé de Corneja
5201;San Bartolomé de Pinares
5206;San Esteban de los Patos
5208;San Esteban de Zapardiel
5207;San Esteban del Valle
5209;San García de Ingelmos
5901;San Juan de Gredos
5210;San Juan de la Encinilla
5211;San Juan de la Nava
5212;San Juan del Molinillo
5213;San Juan del Olmo
5214;San Lorenzo de Tormes
5215;San Martín de la Vega del Alberche
5216;San Martín del Pimpollar
5217;San Miguel de Corneja
5218;San Miguel de Serrezuela
5219;San Pascual
5220;San Pedro del Arroyo
5231;San Vicente de Arévalo
5204;Sanchidrián
5205;Sanchorreja
5222;Santa Cruz de Pinares
5221;Santa Cruz del Valle
5226;Santa María de los Caballeros
5224;Santa María del Arroyo
5225;Santa María del Berrocal
5902;Santa María del Cubillo
5227;Santa María del Tiétar
5228;Santiago del Collado
5904;Santiago del Tormes
5229;Santo Domingo de las Posadas
5230;Santo Tomé de Zabarcos
5232;Serrada, La
5233;Serranillos
5234;Sigeres
5235;Sinlabajos
5236;Solana de Ávila
5237;Solana de Rioalmar
5238;Solosancho
5239;Sotalbo
5240;Sotillo de la Adrada
5241;Tiemblo, El
5242;Tiñosillos
5243;Tolbaños
5244;Tormellas
5245;Tornadizos de Ávila
5247;Torre, La
5246;Tórtoles
5249;Umbrías
5251;Vadillo de la Sierra
5252;Valdecasa
5253;Vega de Santa María
5254;Velayos
5256;Villaflor
5257;Villafranca de la Sierra
5905;Villanueva de Ávila
5258;Villanueva de Gómez
5259;Villanueva del Aceral
5260;Villanueva del Campillo
5261;Villar de Corneja
5262;Villarejo del Valle
5263;Villatoro
5264;Viñegra de Moraña
5265;Vita
5266;Zapardiel de la Cañada
5267;Zapardiel de la Ribera
6001;Acedera
6002;Aceuchal
6003;Ahillones
6004;Alange
6005;Albuera, La
6006;Alburquerque
6007;Alconchel
6008;Alconera
6009;Aljucén
6010;Almendral
6011;Almendralejo
6012;Arroyo de San Serván
6013;Atalaya
6014;Azuaga
6015;Badajoz
6016;Barcarrota
6017;Baterno
6018;Benquerencia de la Serena
6019;Berlanga
6020;Bienvenida
6021;Bodonal de la Sierra
6022;Burguillos del Cerro
6023;Cabeza del Buey
6024;Cabeza la Vaca
6025;Calamonte
6026;Calera de León
6027;Calzadilla de los Barros
6028;Campanario
6029;Campillo de Llerena
6030;Capilla
6031;Carmonita
6032;Carrascalejo, El
6033;Casas de Don Pedro
6034;Casas de Reina
6035;Castilblanco
6036;Castuera
6042;Cheles
6037;Codosera, La
6038;Cordobilla de Lácara
6039;Coronada, La
6040;Corte de Peleas
6041;Cristina
6043;Don Álvaro
6044;Don Benito
6045;Entrín Bajo
6046;Esparragalejo
6047;Esparragosa de la Serena
6048;Esparragosa de Lares
6049;Feria
6050;Fregenal de la Sierra
6051;Fuenlabrada de los Montes
6052;Fuente de Cantos
6053;Fuente del Arco
6054;Fuente del Maestre
6055;Fuentes de León
6056;Garbayuela
6057;Garlitos
6058;Garrovilla, La
6059;Granja de Torrehermosa
6903;Guadiana del Caudillo
6060;Guareña
6061;Haba, La
6062;Helechosa de los Montes
6063;Herrera del Duque
6064;Higuera de la Serena
6065;Higuera de Llerena
6066;Higuera de Vargas
6067;Higuera la Real
6068;Hinojosa del Valle
6069;Hornachos
6070;Jerez de los Caballeros
6071;Lapa, La
6073;Llera
6074;Llerena
6072;Lobón
6075;Magacela
6076;Maguilla
6077;Malcocinado
6078;Malpartida de la Serena
6079;Manchita
6080;Medellín
6081;Medina de las Torres
6082;Mengabril
6083;Mérida
6084;Mirandilla
6085;Monesterio
6086;Montemolín
6087;Monterrubio de la Serena
6088;Montijo
6089;Morera, La
6090;Nava de Santiago, La
6091;Navalvillar de Pela
6092;Nogales
6093;Oliva de la Frontera
6094;Oliva de Mérida
6095;Olivenza
6096;Orellana de la Sierra
6097;Orellana la Vieja
6098;Palomas
6099;Parra, La
6100;Peñalsordo
6101;Peraleda del Zaucejo
6102;Puebla de Alcocer
6103;Puebla de la Calzada
6104;Puebla de la Reina
6107;Puebla de Obando
6108;Puebla de Sancho Pérez
6105;Puebla del Maestre
6106;Puebla del Prior
6902;Pueblonuevo del Guadiana
6109;Quintana de la Serena
6110;Reina
6111;Rena
6112;Retamal de Llerena
6113;Ribera del Fresno
6114;Risco
6115;Roca de la Sierra, La
6116;Salvaleón
6117;Salvatierra de los Barros
6119;San Pedro de Mérida
6123;San Vicente de Alcántara
6118;Sancti-Spíritus
6120;Santa Amalia
6121;Santa Marta
6122;Santos de Maimona, Los
6124;Segura de León
6125;Siruela
6126;Solana de los Barros
6127;Talarrubias
6128;Talavera la Real
6129;Táliga
6130;Tamurejo
6131;Torre de Miguel Sesmero
6132;Torremayor
6133;Torremejía
6134;Trasierra
6135;Trujillanos
6136;Usagre
6137;Valdecaballeros
6901;Valdelacalzada
6138;Valdetorres
6139;Valencia de las Torres
6140;Valencia del Mombuey
6141;Valencia del Ventoso
6146;Valle de la Serena
6147;Valle de Matamoros
6148;Valle de Santa Ana
6142;Valverde de Burguillos
6143;Valverde de Leganés
6144;Valverde de Llerena
6145;Valverde de Mérida
6149;Villafranca de los Barros
6150;Villagarcía de la Torre
6151;Villagonzalo
6152;Villalba de los Barros
6153;Villanueva de la Serena
6154;Villanueva del Fresno
6156;Villar de Rena
6155;Villar del Rey
6157;Villarta de los Montes
6158;Zafra
6159;Zahínos
6160;Zalamea de la Serena
6162;Zarza, La
6161;Zarza-Capilla
7002;Alaior
7001;Alaró
7003;Alcúdia
7004;Algaida
7005;Andratx
7901;Ariany
7006;Artà
7007;Banyalbufar
7008;Binissalem
7009;Búger
7010;Bunyola
7011;Calvià
7012;Campanet
7013;Campos
7014;Capdepera
7064;Castell, Es
7015;Ciutadella de Menorca
7016;Consell
7017;Costitx
7018;Deià
7026;Eivissa
7019;Escorca
7020;Esporles
7021;Estellencs
7022;Felanitx
7023;Ferreries
7024;Formentera
7025;Fornalutx
7027;Inca
7028;Lloret de Vistalegre
7029;Lloseta
7030;Llubí
7031;Llucmajor
7033;Manacor
7034;Mancor de la Vall
7032;Maó-Mahón
7035;Maria de la Salut
7036;Marratxí
7037;Mercadal, Es
7902;Migjorn Gran, Es
7038;Montuïri
7039;Muro
7040;Palma 
7041;Petra
7044;Pobla, Sa
7042;Pollença
7043;Porreres
7045;Puigpunyent
7059;Salines, Ses
7046;Sant Antoni de Portmany
7049;Sant Joan
7050;Sant Joan de Labritja
7048;Sant Josep de sa Talaia
7051;Sant Llorenç des Cardassar
7052;Sant Lluís
7053;Santa Eugènia
7054;Santa Eulària des Riu
7055;Santa Margalida
7056;Santa María del Camí
7057;Santanyí
7058;Selva
7047;Sencelles
7060;Sineu
7061;Sóller
7062;Son Servera
7063;Valldemossa
7065;Vilafranca de Bonany
8001;Abrera
8002;Aguilar de Segarra
8014;Aiguafreda
8003;Alella
8004;Alpens
8005;Ametlla del Vallès, L'
8006;Arenys de Mar
8007;Arenys de Munt
8008;Argençola
8009;Argentona
8010;Artés
8011;Avià
8012;Avinyó
8013;Avinyonet del Penedès
8015;Badalona
8904;Badia del Vallès
8016;Bagà
8017;Balenyà
8018;Balsareny
8252;Barberà del Vallès
8019;Barcelona
8020;Begues
8021;Bellprat
8022;Berga
8023;Bigues i Riells
8024;Borredà
8025;Bruc, El
8026;Brull, El
8027;Cabanyes, Les
8028;Cabrera d'Anoia
8029;Cabrera de Mar
8030;Cabrils
8031;Calaf
8034;Calders
8033;Caldes de Montbui
8032;Caldes d'Estrac
8035;Calella
8037;Calldetenes
8038;Callús
8036;Calonge de Segarra
8039;Campins
8040;Canet de Mar
8041;Canovelles
8042;Cànoves i Samalús
8043;Canyelles
8044;Capellades
8045;Capolat
8046;Cardedeu
8047;Cardona
8048;Carme
8049;Casserres
8057;Castell de l'Areny
8052;Castellar de n'Hug
8050;Castellar del Riu
8051;Castellar del Vallès
8053;Castellbell i el Vilar
8054;Castellbisbal
8055;Castellcir
8056;Castelldefels
8058;Castellet i la Gornal
8060;Castellfollit de Riubregós
8059;Castellfollit del Boix
8061;Castellgalí
8062;Castellnou de Bages
8063;Castellolí
8064;Castellterçol
8065;Castellví de la Marca
8066;Castellví de Rosanes
8067;Centelles
8268;Cercs
8266;Cerdanyola del Vallès
8068;Cervelló
8069;Collbató
8070;Collsuspina
8071;Copons
8072;Corbera de Llobregat
8073;Cornellà de Llobregat
8074;Cubelles
8075;Dosrius
8076;Esparreguera
8077;Esplugues de Llobregat
8078;Espunyola, L'
8254;Esquirol, L'
8079;Estany, L'
8134;Figaró-Montmany
8080;Fígols
8082;Fogars de la Selva
8081;Fogars de Montclús
8083;Folgueroles
8084;Fonollosa
8085;Font-rubí
8086;Franqueses del Vallès, Les
8090;Gaià
8087;Gallifa
8088;Garriga, La
8089;Gavà
8091;Gelida
8092;Gironella
8093;Gisclareny
8094;Granada, La
8095;Granera
8096;Granollers
8097;Gualba
8099;Guardiola de Berguedà
8100;Gurb
8101;Hospitalet de Llobregat, L'
8162;Hostalets de Pierola, Els
8102;Igualada
8103;Jorba
8104;Llacuna, La
8105;Llagosta, La
8107;Lliçà d'Amunt
8108;Lliçà de Vall
8106;Llinars del Vallès
8109;Lluçà
8110;Malgrat de Mar
8111;Malla
8112;Manlleu
8113;Manresa
8242;Marganell
8114;Martorell
8115;Martorelles
8116;Masies de Roda, Les
8117;Masies de Voltregà, Les
8118;Masnou, El
8119;Masquefa
8120;Matadepera
8121;Mataró
8122;Mediona
8138;Moià
8123;Molins de Rei
8124;Mollet del Vallès
8128;Monistrol de Calders
8127;Monistrol de Montserrat
8125;Montcada i Reixac
8130;Montclar
8131;Montesquiu
8126;Montgat
8132;Montmajor
8133;Montmaneu
8135;Montmeló
8136;Montornès del Vallès
8137;Montseny
8129;Muntanyola
8139;Mura
8140;Navarcles
8141;Navàs
8142;Nou de Berguedà, La
8143;Òdena
8145;Olèrdola
8146;Olesa de Bonesvalls
8147;Olesa de Montserrat
8148;Olivella
8149;Olost
8144;Olvan
8150;Orís
8151;Oristà
8152;Orpí
8153;Òrrius
8154;Pacs del Penedès
8155;Palafolls
8156;Palau-solità i Plegamans
8157;Pallejà
8905;Palma de Cervelló, La
8158;Papiol, El
8159;Parets del Vallès
8160;Perafita
8161;Piera
8163;Pineda de Mar
8164;Pla del Penedès, El
8165;Pobla de Claramunt, La
8166;Pobla de Lillet, La
8167;Polinyà
8182;Pont de Vilomara i Rocafort, El
8168;Pontons
8169;Prat de Llobregat, El
8171;Prats de Lluçanès
8170;Prats de Rei, Els
8230;Premià de Dalt
8172;Premià de Mar
8174;Puigdàlber
8175;Puig-reig
8176;Pujalt
8177;Quar, La
8178;Rajadell
8179;Rellinars
8180;Ripollet
8181;Roca del Vallès, La
8183;Roda de Ter
8184;Rubí
8185;Rubió
8901;Rupit i Pruit
8187;Sabadell
8188;Sagàs
8190;Saldes
8191;Sallent
8194;Sant Adrià de Besòs
8195;Sant Agustí de Lluçanès
8196;Sant Andreu de la Barca
8197;Sant Andreu de Llavaneres
8198;Sant Antoni de Vilamajor
8199;Sant Bartomeu del Grau
8200;Sant Boi de Llobregat
8201;Sant Boi de Lluçanès
8203;Sant Cebrià de Vallalta
8202;Sant Celoni
8204;Sant Climent de Llobregat
8205;Sant Cugat del Vallès
8206;Sant Cugat Sesgarrigues
8207;Sant Esteve de Palautordera
8208;Sant Esteve Sesrovires
8210;Sant Feliu de Codines
8211;Sant Feliu de Llobregat
8212;Sant Feliu Sasserra
8209;Sant Fost de Campsentelles
8213;Sant Fruitós de Bages
8215;Sant Hipòlit de Voltregà
8193;Sant Iscle de Vallalta
8216;Sant Jaume de Frontanyà
8218;Sant Joan de Vilatorrada
8217;Sant Joan Despí
8903;Sant Julià de Cerdanyola
8220;Sant Julià de Vilatorta
8221;Sant Just Desvern
8222;Sant Llorenç d'Hortons
8223;Sant Llorenç Savall
8225;Sant Martí d'Albars
8224;Sant Martí de Centelles
8226;Sant Martí de Tous
8227;Sant Martí Sarroca
8228;Sant Martí Sesgueioles
8229;Sant Mateu de Bages
8231;Sant Pere de Ribes
8232;Sant Pere de Riudebitlles
8233;Sant Pere de Torelló
8234;Sant Pere de Vilamajor
8189;Sant Pere Sallavinera
8235;Sant Pol de Mar
8236;Sant Quintí de Mediona
8237;Sant Quirze de Besora
8238;Sant Quirze del Vallès
8239;Sant Quirze Safaja
8240;Sant Sadurní d'Anoia
8241;Sant Sadurní d'Osormort
8098;Sant Salvador de Guardiola
8262;Sant Vicenç de Castellet
8264;Sant Vicenç de Montalt
8265;Sant Vicenç de Torelló
8263;Sant Vicenç dels Horts
8243;Santa Cecília de Voltregà
8244;Santa Coloma de Cervelló
8245;Santa Coloma de Gramenet
8246;Santa Eugènia de Berga
8247;Santa Eulàlia de Riuprimer
8248;Santa Eulàlia de Ronçana
8249;Santa Fe del Penedès
8250;Santa Margarida de Montbui
8251;Santa Margarida i els Monjos
8253;Santa Maria de Besora
8256;Santa Maria de Martorelles
8255;Santa Maria de Merlès
8257;Santa Maria de Miralles
8259;Santa Maria de Palautordera
8258;Santa Maria d'Oló
8260;Santa Perpètua de Mogoda
8261;Santa Susanna
8192;Santpedor
8267;Sentmenat
8269;Seva
8270;Sitges
8271;Sobremunt
8272;Sora
8273;Subirats
8274;Súria
8276;Tagamanent
8277;Talamanca
8278;Taradell
8275;Tavèrnoles
8280;Tavertet
8281;Teià
8279;Terrassa
8282;Tiana
8283;Tona
8284;Tordera
8285;Torelló
8286;Torre de Claramunt, La
8287;Torrelavit
8288;Torrelles de Foix
8289;Torrelles de Llobregat
8290;Ullastrell
8291;Vacarisses
8292;Vallbona d'Anoia
8293;Vallcebre
8294;Vallgorguina
8295;Vallirana
8296;Vallromanes
8297;Veciana
8298;Vic
8299;Vilada
8301;Viladecans
8300;Viladecavalls
8305;Vilafranca del Penedès
8306;Vilalba Sasserra
8303;Vilanova de Sau
8302;Vilanova del Camí
8902;Vilanova del Vallès
8307;Vilanova i la Geltrú
8214;Vilassar de Dalt
8219;Vilassar de Mar
8304;Vilobí del Penedès
8308;Viver i Serrateix
9001;Abajas
9003;Adrada de Haza
9006;Aguas Cándidas
9007;Aguilar de Bureba
9009;Albillos
9010;Alcocero de Mola
9011;Alfoz de Bricia
9907;Alfoz de Quintanadueñas
9012;Alfoz de Santa Gadea
9013;Altable
9014;Altos, Los
9016;Ameyugo
9017;Anguix
9018;Aranda de Duero
9019;Arandilla
9020;Arauzo de Miel
9021;Arauzo de Salce
9022;Arauzo de Torre
9023;Arcos
9024;Arenillas de Riopisuerga
9025;Arija
9026;Arlanzón
9027;Arraya de Oca
9029;Atapuerca
9030;Ausines, Los
9032;Avellanosa de Muñó
9033;Bahabón de Esgueva
9034;Balbases, Los
9035;Baños de Valdearados
9036;Bañuelos de Bureba
9037;Barbadillo de Herreros
9038;Barbadillo del Mercado
9039;Barbadillo del Pez
9041;Barrio de Muñó
9043;Barrios de Bureba, Los
9044;Barrios de Colina
9045;Basconcillos del Tozo
9046;Bascuñana
9047;Belbimbre
9048;Belorado
9050;Berberana
9051;Berlangas de Roa
9052;Berzosa de Bureba
9054;Bozoó
9055;Brazacorta
9056;Briviesca
9057;Bugedo
9058;Buniel
9059;Burgos
9060;Busto de Bureba
9061;Cabañes de Esgueva
9062;Cabezón de la Sierra
9064;Caleruega
9065;Campillo de Aranda
9066;Campolara
9067;Canicosa de la Sierra
9068;Cantabrana
9070;Carazo
9071;Carcedo de Bureba
9072;Carcedo de Burgos
9073;Cardeñadijo
9074;Cardeñajimeno
9075;Cardeñuela Riopico
9076;Carrias
9077;Cascajares de Bureba
9078;Cascajares de la Sierra
9079;Castellanos de Castro
9083;Castil de Peones
9082;Castildelgado
9084;Castrillo de la Reina
9085;Castrillo de la Vega
9088;Castrillo de Riopisuerga
9086;Castrillo del Val
9090;Castrillo Mota de Judíos
9091;Castrojeriz
9063;Cavia
